Title,Comapny,Date,Link,Industry,Occupation,Type
"Seasonal Sales Associate (Brick Specialist) - Fairview Mall, CAN",the LEGO Group,11/19/2020,https://ca.linkedin.com/jobs/view/seasonal-sales-associate-brick-specialist-fairview-mall-can-at-the-lego-group-2218947280?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=4&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Cashier Supervisor (Full-Time),Whole Foods Market,11/19/2020,https://ca.linkedin.com/jobs/view/cashier-supervisor-full-time-at-whole-foods-market-2291608385?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=5&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Clerk Grocery in Etobicoke #JoinOurFamily,Sobeys,11/26/2020,https://ca.linkedin.com/jobs/view/clerk-grocery-in-etobicoke-%23joinourfamily-at-sobeys-2307257040?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=6&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Manager,Lowe's Canada,11/16/2020,https://ca.linkedin.com/jobs/view/store-manager-at-lowe-s-canada-2312252974?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=7&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
AFSM,Shoppers Drug Mart,10/28/2020,https://ca.linkedin.com/jobs/view/afsm-at-shoppers-drug-mart-2259394245?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=8&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Butcher- Full-Time,The Healthy Butcher,11/27/2020,https://ca.linkedin.com/jobs/view/butcher-full-time-at-the-healthy-butcher-2324248406?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=9&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Store Leader Canada (Manager),7-Eleven,11/24/2020,https://ca.linkedin.com/jobs/view/store-leader-canada-manager-at-7-eleven-2320371522?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=10&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Loss Prevention Agent - Stockyards,Old Navy,11/17/2020,https://ca.linkedin.com/jobs/view/loss-prevention-agent-stockyards-at-old-navy-2286300305?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=11&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Merchandise Coordinator,Canadian Tire,11/27/2020,https://ca.linkedin.com/jobs/view/merchandise-coordinator-at-canadian-tire-2324206909?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=12&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
Assistant Store Manager - Toronto North,Money Mart Financial Services,11/3/2020,https://ca.linkedin.com/jobs/view/assistant-store-manager-toronto-north-at-money-mart-financial-services-2234538816?refId=412f1083-75c4-43ea-8c5d-a396cdccd1bd&position=13&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,Trade,retail store,Full Time
